title,press,n_reply,content
"유시민, 패소후 한동훈 향해 “당신 팔뚝 굵어…언론하이에나 물어뜯는날 곧 온다”",문화일보,2118,"유시민 전 노무현재단 이사장이 한동훈 전 국민의힘 비상대책위원장의 명예훼손 등의 혐의로 열린 재판에서 패배한 것을 인정하면서도 ""조금 있으면 언론 하이에나가 한동훈을 물어뜯는 날이 곧 온다""고 주장했다. 유 전 이사장은 19일 유튜브 채널 ‘매불쇼’에 출연해 한 전 위원장 명예훼손 판결과 관련해 ""내가 ‘유윈(You win)’, ‘그래 당신 팔뚝 굵어’라고 얘기해 주는 것""이라며 ""왜냐하면 그가 잘 싸우는 방식으로 그가 유리한 코너에서 싸워서 이긴 거다. 그 작은 전투 하나를 이긴 거다""라고 말했다. 유 전 이사장은 2019년 12월, 2020년 4월과 10월 유튜브와 라디오 시사프로그램 등에서 당시 대검찰청 반부패강력부장이던 한 전 위원장이 자신의 계좌를 사찰했다는 의혹을 제기했고, 한 전 위원장은 허위 사실이라며 유 전 이사장을 고소했다. 결국 유 전 이사장의 발언은 허위로 인정돼, 대법원3부(주심 노정희 대법관)는 지난 17일 유 전 이사장에게 벌금 500만 원을 확정했다. 판결이 나자 한 전 위원장은 SNS에 ""가짜뉴스 피해는 막으면서도 언론과 표현의 자유의 본질도 지키는 AI시대의 가짜뉴스 방지 정책을 만들어 가야 한다""고 글을 올리며 우회적으로 유 전 이사장을 저격했다. 이에 대해 유 전 이사장은 ""기분 좋겠지. 그러니까 SNS에 어쩌고저쩌고 좋아하는데, ‘아휴 네 팔뚝 굵다’, ‘유윈, 먹어’""라며 ""그럼 이제 민사도 하겠지. 민사도 먹어. 민사에서 또 얼마나 배상해주라 할지 모르지만 한 씨가 나한테 돈을 받아내고 벌금을 내게 한다 해도 그거하고 상관없는 이런 싸움터에서 또 먹이는 게 있다""고 말했다. 다만 유 전 이사장은 ""조금 있으면 언론 하이에나가 한동훈을 물어뜯는 날이 곧 온다""며 한 전 위원장에 경고를 덧붙여 남겼다."
"유시민, 패소 이후 한동훈 향해 ""유윈, 그래 당신 팔뚝 굵어""",중앙일보,1953,"유시민 전 노무현재단 이사장이 한동훈 전 국민의힘 비상대책위원장의 명예훼손 등의 혐의로 열린 재판에서 패배한 것을 인정하면서도 ""조금 있으면 언론 하이에나가 한동훈을 물어뜯는 날이 곧 온다""고 경고했다. 유 전 이사장은 지난 19일 유튜브 채널 `매불쇼`에 출연해 자신의 패소 판결에 대해 ""한동훈 씨한테 내가 `유윈(You win)`, `그래 당신 팔뚝 굵어`라고 얘기해 주는 것""이라며 ""왜냐하면 그가 잘 싸우는 방식으로 그가 유리한 코너에서 싸워서 이긴 거다. 그 작은 전투 하나를 이긴 거다""라고 설명했다. 앞서 대법원 3부(주심 노정희 대법관)이 라디오에 의한 명예훼손 혐의로 기소된 유 전 이사장에게 벌금 500만 원을 선고한 원심을 확정한 바 있다. 유 전 이사장은 2019년 12월, 2020년 4월과 10월 유튜브와 라디오 시사프로그램 등에서 당시 대검찰청 반부패강력부장이던 한 전 위원장이 자신의 계좌를 사찰했다는 의혹을 제기했고, 한 전 위원장은 허위 사실이라며 유 전 이사장을 고소했다. 대법원의 판결이 나온 당일 한 전 위원장은 페이스북에 ""가짜뉴스 피해는 막으면서도 언론과 표현의 자유의 본질도 지키는 AI시대의 가짜뉴스 방지 정책을 만들어 가야 한다""고 강조했다. 이에 유 전 이사장은 ""기분 좋겠지. 그러니까 SNS에 어쩌고저쩌고 좋아하는데, `아휴 네 팔뚝 굵다`, `유윈, 먹어`""라고 비꼬며 ""그럼 이제 민사도 하겠지. 민사도 먹어. 민사에서 또 얼마나 배상해주라 할지 모르지만 한 씨가 나한테 돈을 받아내고 벌금을 내게 한다 해도 그거하고 상관없는 이런 싸움터에서 또 먹이는 게 있다""고 했다. 다만 ""조금 있으면 언론 하이에나가 한동훈을 물어뜯는 날이 곧 온다""며 한 전 위원장에 경고를 남기기도 했다."
"""이재명 대표, 대통령 되면 안 된다""…與 당권주자들 한목소리",한국경제,1736,"`헌법 84조` 주제 초선의원 행사 참석 일제히 이재명 `사법 리스크` 조준 국민의힘 당권주자들은 24일 정치권 이슈로 떠오른 `헌법 84조`를 주제로 한 행사에 일제히 참석해 이재명 더불어민주당 대표의 소위 `사법 리스크`를 정조준했다. 이들은 ""이 대표가 대통령이 되면 안 된다""는 취지의 입장을 같이했다. 원희룡 전 국토교통부 장관, 나경원 의원, 한동훈 전 비상대책위원장, 윤상현 의원은 이날 오전 국회에서 열린 초선 의원 공부 모임에 참석했다. 모임 주제는 `헌법 제84조 논쟁 피고인이 대통령 되면 재판이 중단되는가`다. `대통령은 내란 또는 외환의 죄를 범한 경우를 제외하고는 재직 중 형사상의 소추를 받지 아니한다`고 규정한 헌법 제84조는 최근 한 전 위원장이 이 대표를 겨냥해 언급하면서 정치권 화두로 떠올랐다. 이 대표가 차기 대선에서 당선되더라도 형사재판이 이어지느냐, 또는 중단되느냐는 쟁점을 놓고 각계에서 격론이 일고 있다. 당권주자들은 이날 이런 주제로 열린 초선의원 행사에서 일제히 이 대표를 집중 겨냥했다. 먼저 연단에 선 원 전 장관은 ""오늘 주제를 보면서 참 기가 막혔다. 왜 이게 주제가 돼야 하냐""며 ""사법에서 이뤄야 할 정의가 지연되고 정쟁화되면서 제때 신속하고 공정한 결론을 못 내려서 국회의 정치 쟁점이 되고, 다수의 횡포와 정쟁을 통해 진영 싸움으로 몰고 가는 현상 때문에 지금 대한민국은 정상 국가가 아니다""라고 했다. 원 전 장관은 이어 ""저는 지난 대선 당시 정권을 무도한 야당에 넘겨주면 그동안 대한민국이 이룬 모든 헌법 질서와 국민이 피땀으로 이룬 성과, 미래 세대를 위해 쌓아놓은 자산들이 모두 무너질 수 있다는 절박함 때문에 모든 것을 내놓고 정책본부장으로서 이재명 당시 후보에 대한 공격수로 나섰다""며 ""법원의 재판은 신속하고 공정하게 이뤄져야 한다. 지연된 정의는 부정의""라고 했다. 나 의원은 ""이런 주제를 논의해야 하는 상황이 끔찍하다. 이렇게 법치와 상식이 무너진다는 게 안타깝다""며 ""여기에 대해 저도 법조인 출신으로 드릴 말이 많지만, 저는 이재명(이 대통령이 되는) 이런 끔찍한 일이 진짜 벌어진다면 법적 논란을 할 필요도 없을 것이다. 이 대표를 아버지라고 부르는 저 당이 그대로 놔두겠냐""고 했다. 나 의원은 ""(민주당은) 판사 탄핵 소추한 경험도 있다. 별별 짓을 다 할 것이다. 대법관 정원 증원해 자기네에다 집어넣고 못 할 짓이 없을 것이다. 그때 되면 이 논쟁은 무의미할 수 있을 것이다. 결국 우리가 생각하는 것보다 훨씬 더 끔찍한 법치 잔혹사가 있을 것으로 생각한다""며 ""이런 토론을 하는 자체가 지금 대한민국의 법치와 상식이 무너졌다는 것을 보여준다는 점에서 굉장히 의미 있다고 생각한다""고 했다. 한 전 위원장은 ""고인이 대통령이 되면 재판이 중단되느냐에 대해 73%의 여론이 `중단되지 않는다`고 말했다는 결과가 나온 바 있다""며 ""결과적으로 이 대표가 대통령 되면 안 된다는 뜻, 형사피고인이 무죄 받지 않으면 대통령 되면 안 된다는 뜻과 같은 얘기""라고 했다. 한 전 위원장이 언급한 여론조사는 지난 14~15일 한국갤럽이 뉴스1 의뢰로 전국 성인 1008명에게 헌법 84조에 대한 생각을 물은 결과다. 자세한 사항은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다. 한 전 위원장은 ""`이 대표는 감옥 가야 한다`, `대통령이 되면 안 된다`는 이런 말로 끝나는 게 아니라, 국민에게 `이런데도 괜찮냐`고 생각할 만한 지점을 던져주는 게 우리의 싸움 방식이라고 생각한다""며 ""왜 안 되는지, 왜 결과적으로 우리가 이길 수밖에 없는지를 문제 제기를 통해 국민께 전달하는 게 우리가 지금 할 수 있는 유효적절한 투쟁 방법이라고 생각한다""고 했다."
"[단독] `한동훈 딸 논문 대필 의혹` 재수사 여부, 오늘 경찰 심의",MBC,1483,"국민의힘 한동훈 전 비상대책위원장의 딸 `허위 스펙` 의혹 수사를 경찰이 불송치 결정한 데 대해, 오늘 경찰 수사심의위원회가 재수사 여부를 결정합니다. 서울경찰청 수사심의계는 오늘 경찰 수사심의위원회를 열어, 한동훈 전 위원장의 딸 논문 대필 의혹 등에 대한 고발 사건을 심의합니다. 지난 2022년 5월 시민단체 민생경제연구소는 한 전 위원장 부부와 딸이 공모해 논문 대필과 해외 웹사이트 에세이 표절, 봉사활동 부풀리기 등을 했다고 주장하며 경찰에 고발했습니다. 하지만, 경찰은 지난해 12월 한 전 위원장 가족이 모두 혐의가 없다고 보고 검찰에 송치하지 않았습니다. 수사심의위는 수사팀에 재수사를 권고할 수 있는데, 한 전 위원장 딸 사건이 오늘 심의하는 안건에 포함됐습니다. 이 사건 고발대리인인 이제일 변호사는 ""경찰 수사가 너무 미진해 받아들일 수 없어 이의신청을 했다""며 ""오늘 저녁 중 결론이 나올 것으로 보인다""고 밝혔습니다."
"[속보]한동훈 “국힘, 해병대원 특검법 반대할 수 없다”",조선일보,1278,"[속보]한동훈 “국힘, 해병대원 특검법 반대할 수 없다”"
`한동훈 딸 논문 대필 의혹` 재수사 심의 `무혐의`,MBC,1264,"[뉴스투데이] 경찰이 국민의힘 한동훈 전 비상대책위원장 딸의 `허위 스펙` 의혹을 재수사하지 않기로 최종 결정했습니다. 서울경찰청은 어제 오후 수사심의위원회를 열고 한 전 위원장 딸의 논문 대필 의혹 등에 대한 고발 사건을 재수사할지 심의했으며, 최종적으로 무혐의 결론을 내린 것으로 알려졌습니다. 앞서 시민단체 민생경제연구소는 한동훈 전 위원장 부부가 딸의 논문을 대필하고 해외 웹사이트의 에세이를 표절했다며 경찰에 고발했으며, 경찰은 혐의가 없다고 판단해 불송치 결정을 했습니다. 이에 민생경제연구소가 이의 신청을 했지만 받아들여지지 않았습니다. MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000 ▷ 이메일 mbcjebo@mbc.co.kr ▷ 카카오톡 @mbc제보"
“민주당의 아버지” 이재명 찬사 쏟아낸 민주 최고위원들,국민일보,1199,"‘이재명 단일체제’ 단적으로 드러내 李, 연임 기정 사실화… 8월18일 전대 더불어민주당 지도부가 이재명 대표를 “민주당의 아버지”로, 민주당의 현 상황을 “이재명 시대”로 부르며 공개 찬양했다. 이 대표의 연임이 기정사실화된 상황에서 ‘이재명 단일체제’ 구축을 단적으로 보여주는 장면이라는 평가다. 이 대표는 오는 8월 18일 전당대회 출마를 위해 조만간 당대표직에서 사퇴할 것으로 알려졌다. 강민구 최고위원은 19일 당 최고위원회의에서 “‘민주당의 아버지’는 이재명 대표”라며 “집안의 큰 어르신으로서 이 대표가 총선 직후부터 영남 민주당의 발전과 전진에 계속 관심을 가져주셨다”고 말했다. 대구시당위원장인 강 최고위원은 지난 10일 이 대표가 신임 최고위원으로 지명해 이날 처음으로 회의에 참석했다. 그는 “국민의힘이 영남당이 된 지금 민주당의 동진(東進) 전략이 계속돼야 한다”며 “대구 민주당의 발전이 곧 대구 발전이라는 생각으로 한발씩 전진하면 언젠가 큰 변화가 있을 것이다. 그 첫발을 이 대표가 놓아주신 데 깊은 감사를 드린다”고 했다. 정청래 최고위원은 최근 당헌·당규 개정을 통해 ‘당원권 강화’가 이뤄진 점을 언급하며 “역사는 민주당의 이번 일을 중요한 사건으로 기록할 것”이라며 “‘이재명 대표 시대’이기에 가능했던 일”이라고 평가했다. 이어 “권위주의 시대 국회의원의 권위와 리더십은 깨진 지 오래다. 새 시대에 맞는 대중정당으로 나아가야 한다”며 “이 대표에게 감사드린다. 당원·지지자의 손을 잡고 정권 탈환의 길로 나아가자”고 목소리를 높였다. 이 대표에 대한 최고위원들의 ‘릴레이 찬양’을 두고 당내에서도 이 대표 일극체제가 완성됐음을 보여준다는 평가가 나왔다. 한 중진 의원은 “총선 완승을 이끈 현재가 ‘이재명의 시간’이란 사실을 당내 누구도 부인할 수 없다”고 말했다. 이 대표는 조만간 당권 재도전을 위해 당대표직 사퇴를 발표할 것으로 관측된다. 전당대회 사무를 총괄하는 전당대회준비위원회가 다음 주 초 출범할 예정이고, 여당 당권 주자인 한동훈 전 국민의힘 비상대책위원장이 오는 23일 전당대회 출마를 선언할 것이란 전망이 나오면서 발표 시기를 앞당기는 방안을 고려하고 있다. 당초 이 대표는 선거관리위원회 구성 시기 등을 감안해 이달 말이나 다음 달 초 사퇴할 것으로 예상됐다. 이 대표는 21일 당대표 직에서 물러나 연임 도전을 선언할 것이라는 내용의 언론 보도에 대해 “기사가 났느냐”며 “아직 고민 중”이라고 말했다."
정치인 호감도…오세훈 36%·조국 35%·이재명 33%·한동훈 31%[갤럽],연합뉴스,1148,"홍준표 30%·이준석 27%…자유응답 상위 6명 대상 호감도 조사 (서울=연합뉴스) 정아란 기자 = 한국갤럽은 지난 18∼20일 전국 만 18세 이상 1천2명을 대상으로 실시한 정계 인사 6명의 호감도 조사 결과를 21일 공개했다. 결과에 따르면 오세훈 시장 36%, 조국혁신당 조국 대표 35%, 더불어민주당 이재명 대표 33%, 국민의힘 한동훈 전 비상대책위원장 31%, 홍준표 대구시장 30%, 개혁신당 이준석 의원 27%였다. 성향별로 보면 보수층에서는 오세훈 시장과 한동훈 전 위원장이 각각 56%, 홍준표 시장이 37% 호감도를 보였다. 진보층에서는 조국 대표와 이재명 대표에게 호감을 표한 비율이 각각 64%, 58%였다. 한동훈 전 위원장을 제외한 5명은 모두 여성보다 남성에서 호감도가 높은 경향을 보였으며 특히 홍준표 시장의 성별 격차가 가장 컸다고 한국갤럽은 전했다. 비호감도는 이준석 의원 61%, 홍준표 시장 60%, 이재명 대표·한동훈 전 위원장 모두 58%, 조국 대표 54%, 오세훈 시장 50%였다. 갤럽은 지난주 자유 응답 방식으로 진행된 `장래 정치 지도자 선호도` 조사 결과 상위 6명을 기준으로 이번 조사를 실시했다고 밝혔다. 지난해 9월 진행된 갤럽의 호감도 조사에선 오세훈 시장 35%, 한동훈 전 위원장(당시 법무장관) 33%, 홍준표 시장 30%, 이재명 대표 29%였다. 이번 조사는 무작위 추출된 무선전화 가상번호에 전화조사원 인터뷰로 진행됐다. 95% 신뢰수준에 표본오차 ±3.1%포인트였으며 응답률은 12.2%다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지 참고. airan@yna.co.kr"
"홍준표, “한동훈,이재명 못지않게 뻔뻔…지명은 어쩔 수 없지만 선출은 불가”",중앙일보,1043,"홍준표 대구시장이 21일 국민의힘당대표 출마를 앞둔 한동훈 전 비상대책위원장을 겨냥해 “지명직은 어쩔 수 없었지만, 선출직은 불가”라며 직격했다. 홍 시장은 이날 오전 자신의 페이스북에 “문재인 사냥개 노릇 하던 얼치기 검사 출신이 더이상 우리 당을 농락하는 일이 없었으면 한다”며 이같이 밝혔다. 그는 “제가 애라고 말하는 것은 나이를 기준으로 하는 것이 아니고 정치적인 미성숙을 지칭하는 것”이라며 “이준석 전 대표는 나이가 더 어려도 그런 표현을 사용하지 않는다”며 글을 시작했다. 이어 “난장판 국회를 만들어 나라를 혼란으로 몰아넣고 석고대죄를 해도 모자랄 판에 총선 참패 주범들이 두 달도 안 되어서 또 무리를 지어 나서는 것은 정치적 미숙아를 넘어 이재명 더불어민주당 대표 못지않은 상식을 벗어난 뻔뻔함을 그대로 보여주는 것”이라고 했다. 그러면서 “국민과 당원들은 바보가 아니다. 혹독한 심판을 당하고 퇴출될 것”이라며 한 전 위원장의 당대표 출마를 비판했다. 앞서도 홍 시장은 한 전 위원장을 여러 차례 ‘애’라고 표현했다. 지난달 21일에는 사회관계망서비스(SNS)를 통해 한 전 위원장을 “총선 말아먹은 애한테 또 기웃거리는 당내 일부 세력들을 보고 이 당은 가망이 없다고 보았다”고 했다. 이후 총선을 치른 지난 4월 말에도 그는 “패장이 나와서 원내대표 한다고 설치는 건 정치 도의도 아니고 예의도 아니다”라며 “하기야 우릴 궤멸시킨 애 밑에서 굽실거리면서 총선까지 치른 당이니 오죽하랴마는”이라고 말한 바 있다. 한편 한 전 위원장은 오는 23일 나경원 의원, 원희룡 전 국토교통부 장관과 함께 국회에서 국민의힘 당대표 출마를 선언할 예정이다."
"한동훈, 당대표 출마 선언 “수평적 당정관계·보수정치 혁신”",조선일보,938,"한동훈 전 비상대책위원장이 23일 7·23 당대표 경선 출마를 선언했다. 한 전 위원장은 이날 국회 기자회견에서 “제가 총선 내내 진심을 다해 외친, 민심에 반응하고, 국민의 눈높이에 맞는 국민의힘을 만들기 위해 모든 것을 바치는 것으로 진짜 책임을 다하려 한다”고 했다. 그는 “패배의 경험을 변화와 승리, 정권재창출의 토양으로 삼겠다”며 “당정관계를 수평적으로 재정립하고 실용적인 방향으로 쇄신하겠다. 보수정치를 혁신적으로 재건하겠다”고 했다. 한 전 위원장은 “건강하고 수평적이며 실용적인 당정관계를 대다수 국민들과 지지자들, 당원들이 정말 바라고 있다”며 “제가 그 역할을 하겠다”고 했다. 한 전 위원장은 “보수정치를 재건하고 혁신하겠다”면서 ‘지역현장중심의 풀뿌리 정치 시스템’ ‘여의도연구원 등 당의 정책기능 강화’ ‘당 외연 확대’ 등을 공약으로 제시했다."
